Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1615.99
FDW14,OUT017,1350.2922
NCN55,OUT010,551.9423
FDQ58,OUT017,2404.5435
FDY38,OUT027,6060.846
FDH56,OUT046,1851.9098
FDL48,OUT018,608.0407
FDC48,OUT027,2196.1467
FDN33,OUT045,1520.4657
FDA36,OUT017,3026.1167
FDT44,OUT017,1898.9906
FDQ56,OUT045,1398.2461
NCC54,OUT019,520.6193
FDU11,OUT049,2058.8252
DRL59,OUT013,776.93304
FDM24,OUT049,2282.9937
FDI57,OUT045,2927.623
DRC12,OUT018,2810.5154
NCM42,OUT027,2537.1604
FDA46,OUT010,452.42755
FDA31,OUT013,2795.2817
NCJ31,OUT035,3733.7996
FDG52,OUT046,736.8263
NCL19,OUT019,384.8807
FDS10,OUT035,2774.4482
FDX22,OUT010,698.0255
NCF19,OUT035,770.0756
NCE06,OUT046,2496.7869
DRC27,OUT046,3680.973
FDE21,OUT035,2013.2749
NCR42,OUT019,62.252533
FDX51,OUT018,2826.072
NCR06,OUT018,555.4076
FDU31,OUT027,5378.1045
FDU59,OUT017,2461.5652
FDR03,OUT027,5446.7686
FDS49,OUT027,2169.9072
FDD48,OUT010,271.30188
NCF18,OUT017,3081.2905
NCD43,OUT027,2597.0623
NCD54,OUT018,1706.7318
FDY19,OUT010,252.12709
NCY54,OUT017,2660.6243
NCL19,OUT018,2142.9573
FDP23,OUT010,571.5061
FDC26,OUT013,1740.0248
FDR14,OUT010,195.551
NCS41,OUT035,3097.3635
FDF41,OUT035,3712.38
FDU34,OUT046,2028.0453
DRH11,OUT046,906.866
FDM03,OUT013,1651.6283
FDS31,OUT017,2770.9211
FDJ20,OUT017,1984.9779
FDV44,OUT027,4885.6846
FDG02,OUT049,3090.5762
FDA09,OUT013,3001.2192
FDT04,OUT013,678.4582
FDL58,OUT019,558.65967
FDE52,OUT045,1414.6968
FDW12,OUT035,2413.3176
FDL51,OUT017,3202.2659
NCY42,OUT027,3097.4646
FDR07,OUT017,1498.9535
FDN40,OUT045,2278.255
FDB35,OUT027,2488.1577
FDA22,OUT017,2551.949
NCL06,OUT046,3892.0276
FDI35,OUT013,2817.0964
NCW42,OUT045,3391.5837
NCX06,OUT049,2895.4653
FDC37,OUT027,2605.1926
FDZ14,OUT018,1789.3253
DRG49,OUT049,4031.5388
NCG06,OUT045,3810.8623
DRC36,OUT045,2729.1797
FDV21,OUT019,320.82727
FDB53,OUT046,2373.7146
DRP47,OUT019,515.23694
FDA14,OUT013,2378.4534
DRC24,OUT035,2444.2153
