Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1628.5035453129601
FDW14,OUT017,1401.3568153988376
NCN55,OUT010,599.7801645579353
FDQ58,OUT017,2533.0881137053566
FDY38,OUT027,6120.083858203706
FDH56,OUT046,1922.350950426148
FDL48,OUT018,577.3352393722154
FDC48,OUT027,2317.220592000885
FDN33,OUT045,1526.1994520710464
FDA36,OUT017,3097.413239503724
FDT44,OUT017,1926.1988967696052
FDQ56,OUT045,1391.632753740206
NCC54,OUT019,554.6770739296251
FDU11,OUT049,2147.0328973476303
DRL59,OUT013,827.7300482944063
FDM24,OUT049,2367.2751816429973
FDI57,OUT045,3073.7187072671086
DRC12,OUT018,2765.694334291495
NCM42,OUT027,2526.1509605933425
FDA46,OUT010,444.74369664240066
FDA31,OUT013,2989.477774892074
NCJ31,OUT035,3692.5875591517606
FDG52,OUT046,818.8891378292894
NCL19,OUT019,365.56829376390846
FDS10,OUT035,2871.34122088992
FDX22,OUT010,724.2338272164803
NCF19,OUT035,840.0032799883261
NCE06,OUT046,2508.669548345337
DRC27,OUT046,3835.179616401849
FDE21,OUT035,2038.7382256562244
NCR42,OUT019,14.672392140362698
FDX51,OUT018,2833.09300885347
NCR06,OUT018,573.4395810171826
FDU31,OUT027,5527.667500161082
FDU59,OUT017,2589.677994296476
FDR03,OUT027,5504.797577703667
FDS49,OUT027,2255.996037462615
FDD48,OUT010,309.1903830875555
NCF18,OUT017,3144.6608579703334
NCD43,OUT027,2664.212401653143
NCD54,OUT018,1755.4398437763925
FDY19,OUT010,310.4374348047738
NCY54,OUT017,2743.523917202221
NCL19,OUT018,2169.275788548673
FDP23,OUT010,604.7557205342235
FDC26,OUT013,1918.072610111193
FDR14,OUT010,154.5836700130653
NCS41,OUT035,3187.3834457485364
FDF41,OUT035,3784.581968514571
FDU34,OUT046,2042.6701761277623
DRH11,OUT046,961.7766808412576
FDM03,OUT013,1687.2884718051348
FDS31,OUT017,2913.0738229311078
FDJ20,OUT017,2040.943010195796
FDV44,OUT027,5119.289284606308
FDG02,OUT049,3306.2687153113343
FDA09,OUT013,3188.5096130567895
FDT04,OUT013,719.1229880617643
FDL58,OUT019,653.096887092167
FDE52,OUT045,1426.2170983298556
FDW12,OUT035,2521.8588528197206
FDL51,OUT017,3471.0156073908493
NCY42,OUT027,3129.802626771312
FDR07,OUT017,1685.7993538770927
FDN40,OUT045,2378.448250040697
FDB35,OUT027,2542.9013030076767
FDA22,OUT017,2788.348990527996
NCL06,OUT046,4007.9694480722874
FDI35,OUT013,3040.538361378846
NCW42,OUT045,3463.8130516471715
NCX06,OUT049,3128.4566310925866
FDC37,OUT027,2704.292988713288
FDZ14,OUT018,1795.485370348897
DRG49,OUT049,4160.624769187198
NCG06,OUT045,3969.803267094977
DRC36,OUT045,2829.5486890233938
FDV21,OUT019,361.58409986725724
FDB53,OUT046,2378.381180466672
DRP47,OUT019,582.8768112524227
FDA14,OUT013,2471.149282498619
DRC24,OUT035,2546.6382050864763
FDW21,OUT018,1605.450609282701
NCH29,OUT046,1713.1497634820503
FDU58,OUT013,3155.5321709717905
FDY27,OUT017,2787.060849489732
FDV56,OUT035,1722.1850881838197
FDT59,OUT046,3758.67080642039
FDB23,OUT046,3589.857182560955
FDR49,OUT045,818.7296937235253
FDB03,OUT010,567.0268628349586
FDN39,OUT045,2815.119629416304
FDX02,OUT027,5762.118286809
FDQ16,OUT027,2597.899762407483
FDU35,OUT018,1401.7308601330246
NCT29,OUT013,2128.469355486979
FDZ27,OUT046,837.1057134690508
FDN57,OUT017,2115.042607395898
FDA03,OUT018,2122.5749584055134
FDZ36,OUT045,3054.9175893372253
NCU05,OUT013,1347.73342646854
FDT39,OUT018,2095.7835758641218
FDK60,OUT017,1595.010763798502
FDZ25,OUT017,2884.3048424485914
FDG12,OUT046,2078.257811519856
DRB01,OUT019,582.4320016186953
NCC43,OUT027,6226.2384002000035
FDX13,OUT019,805.6837170048074
FDM22,OUT049,849.5314674723176
FDJ03,OUT027,1431.1775361031641
FDU14,OUT018,3482.059679238308
FDB33,OUT010,433.49902784390315
FDP27,OUT046,3023.374324242089
FDO38,OUT010,237.55929671771923
FDE28,OUT027,6202.57893617734
