iter	RMSE
0	1703.943432
1	1699.232385
2	1694.605201
3	1689.909615
4	1685.427445
5	1680.881713
6	1676.533859
7	1671.943003
8	1667.432273
9	1663.502842
10	1659.235618
11	1654.876292
12	1650.566434
13	1646.478645
14	1642.100645
15	1637.974303
16	1633.82099
17	1629.505215
18	1625.242751
19	1621.064053
20	1617.190222
21	1613.194863
22	1609.191443
23	1605.236475
24	1601.460234
25	1597.390708
26	1593.890312
27	1590.411254
28	1586.818665
29	1582.952855
30	1579.23399
31	1575.503784
32	1571.651254
33	1568.002962
34	1564.330836
35	1560.718815
36	1556.955991
37	1553.263145
38	1549.707239
39	1546.012179
40	1542.365717
41	1538.675165
42	1535.25808
43	1531.905664
44	1528.368391
45	1524.926183
46	1521.910677
47	1518.531263
48	1515.204151
49	1512.252627
50	1509.013942
51	1505.898888
52	1502.759201
53	1499.642624
54	1496.544262
55	1493.32165
56	1490.299667
57	1487.10341
58	1484.327735
59	1481.254204
60	1478.299483
61	1475.150822
62	1472.104444
