iter	Passed	Remaining
0	10	85049
1	20	82354
2	26	72090
3	30	61595
4	33	54742
5	38	52352
6	43	50444
7	46	47236
8	49	45240
9	54	44556
10	59	44318
11	62	42789
12	66	42066
13	71	41665
14	74	40496
15	77	39438
16	80	38878
17	83	38012
18	86	37175
19	89	36437
20	91	35769
21	96	35760
22	99	35346
23	102	35033
24	105	34461
25	108	34036
26	110	33562
27	112	32916
28	115	32527
29	118	32147
30	121	32001
31	124	31760
32	128	31822
33	131	31540
34	134	31451
35	137	31169
36	140	31072
37	143	30821
38	147	30804
39	149	30564
40	152	30349
41	155	30252
42	158	30099
43	161	29890
44	164	29711
45	166	29514
46	168	29177
47	170	28995
48	173	28755
49	174	28446
50	177	28262
51	179	28171
52	183	28247
53	187	28196
54	190	28169
55	193	28048
56	196	28015
57	198	27897
58	200	27645
59	203	27540
60	205	27434
61	209	27435
62	213	27604
