iter	RMSE
0	1666.824627
1	1618.113348
2	1574.039647
3	1530.833949
4	1493.28632
5	1456.700493
6	1423.765217
7	1395.182327
8	1367.248767
9	1341.535009
10	1318.926489
11	1297.309259
12	1278.169217
13	1261.44727
14	1246.094835
15	1232.743335
16	1220.261383
17	1208.070474
18	1196.632546
19	1185.696957
20	1176.757199
21	1167.944937
22	1159.817833
23	1152.640128
24	1146.02337
25	1140.651574
26	1135.220288
27	1130.682985
28	1126.395766
29	1122.880212
30	1118.819312
31	1115.591752
32	1112.294354
33	1109.845627
34	1107.085751
35	1104.852516
36	1102.526668
37	1100.272602
38	1098.32822
39	1097.102004
40	1095.747165
41	1094.505344
42	1093.235918
43	1092.180336
44	1090.9434
45	1089.995371
46	1088.772722
47	1087.862797
48	1087.075776
49	1086.243755
50	1085.47886
51	1084.728819
52	1084.100698
53	1083.422313
54	1082.678416
55	1082.050631
56	1081.445127
57	1080.92438
58	1080.536433
59	1079.766477
60	1079.076036
61	1078.309182
62	1077.981044
63	1077.42327
64	1076.999722
65	1076.516246
66	1076.166213
67	1075.852388
68	1075.449504
69	1075.030614
70	1074.335121
71	1074.033796
72	1073.773356
73	1073.299839
74	1072.857765
75	1072.457197
76	1072.148051
77	1071.80021
78	1071.307553
79	1070.986667
80	1070.46229
81	1070.185817
82	1069.936741
83	1069.538256
84	1069.216034
85	1068.767095
86	1068.055975
87	1067.485285
88	1067.108484
89	1066.562066
90	1065.987765
91	1065.647997
92	1065.160927
93	1064.659354
94	1064.321884
95	1064.065789
96	1063.886905
97	1063.520771
98	1062.976311
99	1062.975729
100	1062.814371
101	1062.562857
102	1062.183086
103	1061.804069
104	1061.42261
105	1061.381706
106	1061.043724
107	1060.518199
108	1060.28699
109	1059.694751
110	1059.33107
111	1059.018426
112	1058.546153
113	1058.377562
114	1057.923901
115	1057.535922
116	1057.193713
117	1056.889718
118	1056.462321
119	1056.222632
120	1056.00633
121	1055.514262
122	1055.320714
123	1055.088797
124	1054.963702
125	1054.701146
126	1054.422644
127	1054.38788
128	1054.106121
129	1053.881744
130	1053.583559
131	1053.294347
132	1052.921118
133	1052.630003
134	1052.227163
135	1052.083212
136	1051.468877
137	1051.152928
138	1050.758971
139	1050.496168
140	1050.115951
141	1049.767346
142	1049.304138
143	1049.073264
144	1048.839089
145	1048.557359
146	1048.13372
147	1048.089386
148	1047.711658
149	1047.446856
150	1047.052005
151	1046.763423
152	1046.462342
153	1046.114362
154	1045.785264
155	1045.59137
156	1045.29208
157	1044.887226
158	1044.596394
159	1044.219531
160	1043.999171
161	1043.620548
162	1043.347277
163	1042.942685
164	1042.607044
165	1042.311353
166	1041.924718
167	1041.640172
168	1041.154126
169	1040.895207
170	1040.28338
171	1039.972816
172	1039.719892
173	1039.440977
174	1038.869103
175	1038.488418
176	1038.065011
177	1037.867475
178	1037.376405
179	1037.01139
180	1036.693529
181	1036.474992
182	1036.230956
183	1035.886705
184	1035.610009
185	1035.240987
186	1034.81308
187	1034.048177
188	1033.637968
189	1033.273211
190	1032.929814
191	1032.563764
192	1032.161061
193	1031.856289
194	1031.520397
195	1031.283842
196	1030.995979
197	1030.629451
198	1030.449141
199	1030.122068
200	1029.653203
201	1029.384668
202	1029.082443
203	1028.861161
204	1028.519963
205	1028.185437
206	1027.587671
207	1027.192061
208	1026.994972
209	1026.730813
210	1026.42235
211	1026.125504
212	1025.843373
213	1025.506241
214	1025.07685
215	1024.610093
216	1024.306014
217	1023.959512
218	1023.801831
219	1023.534053
220	1023.329344
221	1022.994626
222	1022.587871
223	1022.260466
224	1021.923336
225	1021.62425
226	1021.416569
227	1021.22585
228	1020.92682
229	1020.625746
230	1020.042931
231	1019.585565
232	1019.065821
233	1018.834491
234	1018.40264
235	1017.903526
236	1017.641602
237	1017.316183
238	1016.976393
239	1016.664307
240	1016.406504
241	1016.108377
242	1015.92773
243	1015.552517
244	1015.207769
245	1014.884289
246	1014.36484
247	1014.058551
248	1013.629714
249	1013.204661
250	1012.732295
251	1012.292756
252	1011.85997
253	1011.496503
254	1011.219246
255	1010.838086
256	1010.668944
257	1010.45998
258	1010.139815
259	1009.836004
260	1009.386803
261	1009.130082
262	1008.808987
263	1008.547291
264	1008.126592
265	1007.761875
266	1007.310763
267	1007.00657
268	1006.727504
269	1006.532369
270	1006.237694
271	1005.871049
272	1005.660828
273	1005.425644
274	1005.136947
275	1005.024699
276	1004.760562
277	1004.532507
278	1004.273099
279	1003.948304
280	1003.717257
281	1003.385416
282	1003.174859
283	1002.963075
284	1002.835734
285	1002.664238
286	1002.279125
287	1001.912209
288	1001.657503
289	1001.485486
290	1001.172259
291	1000.988708
292	1000.576859
293	1000.437801
294	999.9251811
295	999.7595316
296	999.3573724
297	999.0229155
298	998.7763055
299	998.5527153
300	998.1428703
301	997.7920291
302	997.484614
303	997.2248789
304	996.6829973
305	996.4117104
306	996.2875543
307	996.0464055
308	995.8773104
309	995.4288685
310	995.1842709
311	994.9123939
312	994.6027943
313	994.4291176
314	994.1817064
315	993.9532496
316	993.5686836
317	993.1430955
318	992.8543965
319	992.5852058
320	992.3467624
321	992.1907159
322	991.8625956
323	991.5165758
324	991.2581972
325	991.1179197
326	990.7512019
327	990.479597
328	990.1850494
329	989.9186646
330	989.5405489
331	989.1146045
332	988.7807639
333	988.4881174
334	988.222056
335	987.8951124
336	987.5389219
337	987.3555151
338	987.1549059
339	986.643004
340	986.3176293
341	986.1766832
342	985.9816485
343	985.7072806
344	985.3774412
345	984.958107
346	984.6463058
347	984.4344968
348	984.0062911
349	983.8804857
350	983.6914904
351	983.4768505
352	983.3368143
353	983.1212057
354	982.7392311
355	982.6184199
356	982.1886896
357	981.6664924
358	981.5540998
359	981.235728
360	980.9736586
361	980.7399655
362	980.508661
363	980.3579831
364	980.1720294
365	979.7094703
366	979.3841346
367	979.3160419
368	979.0459404
369	978.7673005
370	978.4692544
371	977.9935531
372	977.8106523
373	977.4982324
374	977.276543
375	977.1168053
376	976.9311104
377	976.7165923
378	976.5634817
379	976.1747
380	975.8183182
381	975.5382731
382	975.2744982
383	975.1164163
384	974.968834
385	974.7919817
386	974.5721337
387	974.2911469
388	973.9241918
389	973.6114367
390	973.5127923
391	973.2916778
392	973.0982376
393	972.7665154
394	972.422226
395	972.1075369
396	971.7351672
397	971.4069797
398	971.3034198
399	971.1180425
400	970.8599494
401	970.6549588
402	970.2386513
403	969.8960848
404	969.4866668
405	969.0592124
406	968.8467631
407	968.5062975
408	968.1291076
409	967.93557
410	967.6611302
411	967.3691323
412	967.2040121
413	966.7881238
414	966.4527208
415	966.2849281
416	965.9487511
417	965.6489747
418	965.5065413
419	965.2511152
420	964.9444874
421	964.7798079
422	964.5294926
423	964.2243535
424	963.931647
425	963.626379
426	963.2184806
427	962.8804833
428	962.70119
429	962.600466
430	962.3936565
431	962.0331194
432	961.8406915
433	961.5920812
434	961.4107858
435	961.3705213
436	961.0355812
437	960.8500961
438	960.5628974
439	960.3247475
440	960.0942185
441	959.8285127
442	959.5844096
443	959.4384652
444	958.847685
445	958.5163357
446	958.3125888
447	958.0624771
448	957.8474802
449	957.6314668
450	957.3269263
451	957.0187972
452	956.8771585
453	956.7064869
454	956.5878511
455	956.3935594
456	956.1260475
457	955.8343292
458	955.3444503
459	955.2511499
460	954.9754975
461	954.7683851
462	954.4758198
463	954.2294166
464	954.0252789
465	953.8538584
466	953.4356095
467	953.1408839
468	952.8898314
469	952.6232392
470	952.4172082
471	952.2440231
472	951.9221055
473	951.668135
474	951.5604125
475	951.4157711
476	951.1836411
477	950.7437316
478	950.5116014
479	950.1445817
480	949.7330394
481	949.56966
482	949.5198927
483	949.2270246
484	949.0734664
485	948.9668049
486	948.7969882
487	948.6820444
488	948.6024491
489	948.3048999
490	948.0854653
491	947.9366254
492	947.5939084
493	947.4459418
494	947.1765552
495	946.976198
496	946.8657509
497	946.7200214
498	946.5743988
499	946.3891583
500	946.2988953
501	946.1388802
502	945.9264828
503	945.7579751
504	945.6294824
505	945.4464009
506	945.1441656
507	945.0413257
508	944.9013731
509	944.7240071
510	944.5008727
511	944.1364956
512	943.9230721
513	943.7860796
514	943.4924313
515	943.0748022
516	942.8891366
517	942.5949609
518	942.2762744
519	941.9885713
520	941.8634209
521	941.7160551
522	941.499948
523	941.3765199
524	941.3098565
525	940.8786104
526	940.6203305
527	940.4683881
528	940.2959526
529	940.1783205
530	939.8266944
531	939.6422137
532	939.3439195
533	939.1424774
534	939.0764331
535	938.9193244
536	938.8022073
537	938.3392865
538	938.0758804
539	937.8669096
540	937.5827421
541	937.1914085
542	936.9876816
543	936.7538643
544	936.5401936
545	936.0810423
546	935.8809648
547	935.7151522
548	935.4196793
549	935.2939797
550	935.109539
551	934.9220361
552	934.7952703
553	934.549276
554	934.3114038
555	934.1516234
556	934.0364433
557	933.7893452
558	933.5144067
559	933.2736848
560	933.0466768
561	933.0006923
562	932.8370674
563	932.5763264
564	932.3224385
565	931.9273145
566	931.7773481
567	931.6758444
568	931.4122149
569	931.3043037
570	931.0686829
571	930.7840668
572	930.616358
573	930.3424209
574	930.2414021
575	929.9192025
576	929.6736149
577	929.5241586
578	929.4013532
579	929.111062
580	928.9457671
581	928.6313332
582	928.2659263
583	928.0248594
584	927.8204988
585	927.7840806
586	927.5514184
587	927.3753013
588	927.2991285
589	926.9253702
590	926.6753071
591	926.4004898
592	926.2924188
593	926.1661963
594	926.0726648
595	925.8035516
596	925.6749574
597	925.4480053
598	925.3466476
599	925.1512188
600	924.9621831
601	924.6861789
602	924.5699135
603	924.4842753
604	924.2812106
605	924.0849745
606	923.7186412
607	923.4791368
608	923.2354797
609	923.134211
610	923.0554296
611	922.7848855
612	922.6765539
613	922.2711212
614	922.0193923
615	921.7802799
616	921.6702302
617	921.5415634
618	921.3681156
619	921.0995488
620	920.8008924
621	920.6542135
622	920.5245724
623	920.25094
624	920.1183013
625	919.9815467
626	919.7310188
627	919.5960594
628	919.3645712
629	919.1006482
630	918.9272382
631	918.7561602
632	918.4850915
633	918.4336727
634	918.2845235
635	918.1725958
636	918.0840902
637	917.9183451
638	917.8326422
639	917.6196098
640	917.3767159
641	917.2130028
642	916.9584919
643	916.8019869
644	916.5554355
645	916.4490855
646	916.0814457
647	916.0092808
648	915.6504849
649	915.3642446
650	915.1362587
651	915.0329419
652	914.8448681
653	914.7398672
654	914.6455009
655	914.5926945
656	914.4633785
657	914.1860242
658	914.0495494
659	913.7486715
660	913.4200032
661	913.1784594
662	912.8534773
663	912.5667514
664	912.4561729
665	912.2268577
666	912.0272544
667	911.9494525
668	911.7755692
669	911.6582229
670	911.4368335
671	911.2066126
672	910.8484224
673	910.5153327
674	910.3755535
675	910.1826044
676	910.0839935
677	909.8753896
678	909.5934886
679	909.3174649
680	909.0704513
681	908.9594668
682	908.7087154
683	908.489243
684	908.236779
685	908.1067562
686	907.920995
687	907.7715626
688	907.6091637
689	907.3470618
690	907.1933911
691	907.0559134
692	906.9345719
693	906.7192243
694	906.3266924
695	906.2234647
696	906.0252015
697	905.8021112
698	905.6402036
699	905.5460816
700	905.4568638
701	905.172591
702	905.0874772
703	904.8563497
704	904.5793498
705	904.4048797
706	904.2830123
707	904.1108893
708	903.8313711
709	903.639172
710	903.4568329
711	903.2662216
712	903.151894
713	902.8662032
714	902.6937108
715	902.4297266
716	902.1626337
717	902.0818272
718	901.8174554
719	901.6797707
720	901.5129783
721	901.4149451
722	901.3255364
723	901.2541152
724	901.1417265
725	901.04722
726	900.8946779
727	900.7222146
728	900.4097268
729	900.1654051
730	899.9924108
731	899.9008051
732	899.819736
733	899.6793905
734	899.5797386
735	899.4829393
736	899.2724079
737	899.1657555
738	898.9340249
739	898.703047
740	898.3992215
741	898.1890888
742	898.1424202
743	897.9051591
744	897.8024949
745	897.6432944
746	897.3757349
747	897.0320178
748	896.8201837
749	896.726019
750	896.518268
751	896.3395697
752	896.2541132
753	896.0630396
754	895.8601209
755	895.6677342
756	895.5247882
757	895.3325341
758	895.1433415
759	894.8484777
760	894.7509432
761	894.605918
762	894.4240994
763	894.2011769
764	893.9444925
765	893.7866695
766	893.5532523
767	893.4380504
768	893.1550174
769	892.9780883
770	892.8146675
771	892.7364892
772	892.6221477
773	892.5356503
774	892.3292354
775	892.2235192
776	891.891592
777	891.7580247
778	891.5542316
779	891.3821778
780	891.1906508
781	891.0397631
782	890.8986738
783	890.7043103
784	890.5157823
785	890.2585998
786	890.076724
787	889.7333289
788	889.5588152
789	889.336226
790	889.1585011
791	888.9805099
792	888.8956764
793	888.732424
794	888.5452574
795	888.3975823
796	888.338168
797	888.1070892
798	887.9833524
799	887.7251188
800	887.5695521
801	887.3566211
802	887.1597841
803	886.973131
804	886.7647829
805	886.5329437
806	886.3244369
807	886.1048199
808	885.9612515
809	885.8035574
810	885.6219285
811	885.4678504
812	885.4046465
813	885.2180983
814	885.1256507
815	884.9201524
816	884.8218506
817	884.7320387
818	884.6269808
819	884.5039053
820	884.309741
821	884.1926539
822	883.9804587
823	883.7843505
824	883.599981
825	883.3694046
826	883.1548641
827	883.0031583
828	882.8089088
829	882.5781473
830	882.4599227
831	882.3366583
832	882.2542687
833	882.1223131
834	882.0660471
835	881.869107
836	881.7576657
837	881.6764547
838	881.4419645
839	881.3429062
840	881.1210832
841	880.9771449
842	880.8665101
843	880.6923462
844	880.4245599
845	880.2419661
846	880.1226025
847	879.9331937
848	879.828101
849	879.6319747
850	879.4538007
851	879.2432692
852	879.0440778
853	878.973187
854	878.7768117
