iter	Passed	Remaining
0	143	143497
1	147	73414
2	149	49808
3	152	37960
4	155	30893
5	158	26190
6	162	22992
7	164	20453
8	167	18454
9	170	16863
10	174	15701
11	177	14606
12	180	13673
13	182	12880
14	186	12259
15	189	11649
16	192	11110
17	194	10629
18	198	10255
19	202	9931
20	205	9577
21	208	9256
22	212	9038
23	215	8768
24	218	8511
25	220	8277
26	225	8142
27	228	7935
28	231	7745
29	234	7567
30	237	7428
31	239	7252
32	242	7102
33	244	6958
34	248	6846
35	251	6724
36	253	6604
37	256	6490
38	259	6382
39	262	6304
40	265	6208
41	268	6116
42	270	6025
43	273	5945
44	276	5868
45	279	5788
46	281	5713
47	284	5640
48	287	5589
49	290	5523
50	293	5457
51	295	5395
52	299	5345
53	301	5285
54	304	5228
55	307	5186
56	310	5138
57	314	5108
58	317	5059
59	319	5009
60	322	4963
61	326	4946
62	329	4900
63	332	4856
64	334	4815
65	337	4782
66	340	4742
67	343	4703
68	345	4665
69	348	4631
70	352	4611
71	355	4577
72	357	4543
73	360	4509
74	364	4500
75	367	4467
76	370	4436
77	372	4405
78	376	4388
79	379	4358
80	381	4329
81	384	4300
82	386	4272
83	390	4253
84	392	4227
85	395	4206
86	401	4208
87	405	4197
88	407	4173
89	410	4149
90	414	4138
91	417	4118
92	419	4094
93	422	4071
94	425	4052
95	428	4035
96	431	4014
97	433	3992
98	436	3971
99	438	3942
100	440	3922
101	443	3903
102	446	3884
103	448	3864
104	452	3853
105	454	3836
106	457	3818
107	460	3799
108	462	3782
109	466	3771
110	468	3755
111	471	3738
112	474	3722
113	477	3713
114	480	3696
115	483	3680
116	485	3665
117	488	3651
118	491	3636
119	493	3622
120	496	3608
121	499	3593
122	502	3582
123	505	3574
124	508	3560
125	511	3545
126	516	3552
127	518	3534
128	521	3520
129	524	3507
130	527	3499
131	530	3489
132	533	3476
133	535	3463
134	538	3451
135	542	3446
136	545	3435
137	548	3424
138	550	3413
139	555	3412
140	558	3401
141	560	3389
142	563	3376
143	567	3371
144	569	3360
145	572	3348
146	575	3338
147	576	3321
148	580	3315
149	583	3304
150	585	3293
151	588	3282
152	591	3275
153	594	3266
154	598	3262
155	601	3253
156	606	3254
157	608	3244
158	611	3236
159	615	3231
160	618	3224
161	621	3214
162	623	3203
163	626	3193
164	630	3190
165	633	3181
166	635	3171
167	638	3162
168	642	3157
169	644	3147
170	647	3137
171	649	3128
172	652	3119
173	656	3114
174	658	3105
175	661	3096
176	664	3088
177	667	3083
178	670	3074
179	673	3066
180	675	3057
181	678	3049
182	681	3041
183	683	3032
184	686	3024
185	689	3016
186	693	3013
187	697	3014
188	700	3006
189	703	3000
190	708	3001
191	711	2992
192	713	2984
193	716	2976
194	719	2970
195	722	2962
196	724	2954
197	727	2946
198	730	2940
199	734	2936
200	736	2928
201	739	2920
202	742	2914
203	746	2912
204	749	2904
205	751	2897
206	754	2890
207	758	2886
208	760	2878
209	763	2870
210	765	2863
211	769	2860
212	772	2853
213	774	2846
214	777	2838
215	780	2832
216	785	2835
217	789	2830
218	791	2822
219	796	2823
220	798	2816
221	801	2809
222	804	2802
223	808	2799
224	810	2793
225	813	2786
226	816	2779
227	819	2775
228	822	2768
229	825	2762
230	827	2755
231	830	2749
232	834	2745
233	836	2738
234	839	2732
235	842	2726
236	846	2725
237	849	2720
238	852	2714
239	855	2708
240	859	2707
241	862	2702
242	865	2696
243	868	2691
244	872	2687
245	875	2682
246	878	2676
247	880	2670
248	887	2676
249	892	2677
250	899	2685
251	902	2679
252	905	2674
253	909	2671
254	912	2666
255	916	2663
256	923	2669
257	927	2667
258	930	2662
259	934	2659
260	937	2655
261	940	2649
262	943	2642
263	946	2638
264	949	2633
265	952	2627
266	954	2621
267	957	2614
268	961	2612
269	963	2605
270	966	2599
271	969	2593
272	972	2589
273	976	2586
274	978	2580
275	981	2574
276	984	2569
277	988	2566
278	990	2560
279	993	2554
280	996	2548
281	999	2545
282	1002	2539
283	1004	2533
284	1007	2527
285	1011	2524
286	1013	2518
287	1016	2512
288	1019	2507
289	1021	2501
290	1025	2497
291	1027	2491
292	1030	2486
293	1032	2480
294	1036	2477
295	1039	2471
296	1041	2466
297	1044	2461
298	1048	2458
299	1051	2453
300	1054	2447
301	1056	2442
302	1059	2436
303	1062	2431
304	1064	2426
305	1067	2421
306	1070	2415
307	1073	2410
308	1075	2405
309	1079	2402
310	1083	2399
311	1087	2397
312	1089	2392
313	1092	2386
314	1095	2382
315	1098	2378
316	1102	2374
317	1104	2369
318	1107	2364
319	1110	2359
320	1114	2357
321	1117	2352
322	1119	2347
323	1122	2341
324	1127	2341
325	1130	2336
326	1132	2331
327	1135	2326
328	1139	2323
329	1141	2318
330	1144	2313
331	1147	2308
332	1151	2306
333	1154	2301
334	1156	2296
335	1159	2290
336	1162	2287
337	1166	2284
338	1168	2279
339	1172	2276
340	1178	2278
341	1181	2273
342	1184	2268
343	1187	2265
344	1190	2260
345	1193	2255
346	1196	2250
347	1198	2245
348	1202	2242
349	1206	2240
350	1208	2235
351	1211	2230
352	1216	2229
353	1218	2224
354	1221	2219
355	1224	2214
356	1227	2211
357	1230	2206
358	1233	2202
359	1235	2197
360	1239	2194
361	1242	2189
362	1244	2184
363	1247	2179
364	1250	2174
365	1252	2170
366	1255	2165
367	1258	2160
368	1260	2156
369	1264	2152
370	1267	2149
371	1270	2144
372	1273	2139
373	1276	2136
374	1280	2133
375	1282	2129
376	1285	2124
377	1288	2120
378	1291	2116
379	1294	2111
380	1296	2107
381	1299	2102
382	1302	2098
383	1306	2095
384	1309	2091
385	1311	2086
386	1315	2084
387	1319	2080
388	1321	2076
389	1324	2071
390	1328	2069
391	1331	2064
392	1333	2059
393	1336	2055
394	1339	2052
395	1342	2048
396	1345	2043
397	1348	2039
398	1350	2034
399	1355	2033
400	1359	2030
401	1361	2025
402	1364	2021
403	1369	2019
404	1371	2015
405	1374	2010
406	1377	2006
407	1380	2002
408	1383	1998
409	1385	1994
410	1388	1989
411	1392	1987
412	1395	1983
413	1398	1979
414	1400	1974
415	1404	1971
416	1407	1967
417	1409	1962
418	1412	1958
419	1415	1954
420	1418	1950
421	1420	1946
422	1423	1942
423	1426	1937
424	1430	1935
425	1432	1930
426	1435	1926
427	1438	1922
428	1441	1918
429	1443	1914
430	1446	1909
431	1449	1905
432	1451	1901
433	1455	1897
434	1458	1894
435	1461	1890
436	1464	1886
437	1468	1883
438	1471	1880
439	1473	1875
440	1476	1871
441	1479	1868
442	1482	1864
443	1485	1859
444	1487	1855
445	1490	1851
446	1493	1848
447	1497	1844
448	1499	1840
449	1502	1836
450	1507	1835
451	1510	1831
452	1513	1827
453	1515	1822
454	1519	1820
455	1522	1815
456	1524	1811
457	1527	1807
458	1531	1804
459	1533	1800
460	1536	1796
461	1539	1792
462	1541	1788
463	1544	1784
464	1547	1780
465	1552	1779
466	1557	1777
467	1560	1773
468	1563	1769
469	1565	1765
470	1569	1762
471	1572	1758
472	1574	1754
473	1577	1750
474	1580	1746
475	1583	1743
476	1586	1739
477	1589	1735
478	1591	1731
479	1595	1728
480	1598	1724
481	1600	1720
482	1603	1716
483	1606	1713
484	1609	1709
485	1612	1705
486	1614	1701
487	1617	1697
488	1620	1693
489	1623	1689
490	1626	1685
491	1628	1681
492	1632	1678
493	1634	1674
494	1637	1670
495	1640	1666
496	1643	1663
497	1647	1660
498	1649	1656
499	1652	1652
500	1654	1648
501	1658	1645
502	1661	1641
503	1664	1637
504	1666	1633
505	1670	1630
506	1672	1626
507	1675	1622
508	1678	1618
509	1680	1614
510	1684	1611
511	1687	1608
512	1690	1604
513	1693	1600
514	1696	1598
515	1699	1594
516	1702	1590
517	1704	1586
518	1708	1583
519	1711	1580
520	1714	1576
521	1717	1572
522	1720	1568
523	1723	1565
524	1726	1561
525	1728	1557
526	1731	1553
527	1734	1550
528	1737	1547
529	1740	1543
530	1742	1539
531	1746	1536
532	1749	1532
533	1752	1529
534	1754	1525
535	1757	1521
536	1760	1518
537	1763	1514
538	1766	1510
539	1768	1506
540	1772	1503
541	1774	1499
542	1777	1496
543	1780	1492
544	1782	1488
545	1786	1485
546	1789	1481
547	1791	1477
548	1794	1474
549	1797	1471
550	1800	1467
551	1803	1463
552	1806	1459
553	1809	1456
554	1812	1453
555	1814	1449
556	1817	1445
557	1820	1441
558	1823	1438
559	1826	1434
560	1829	1431
561	1831	1427
562	1834	1423
563	1837	1420
564	1840	1416
565	1842	1413
566	1845	1409
567	1849	1406
568	1852	1403
569	1855	1399
570	1857	1395
571	1860	1392
572	1863	1388
573	1866	1384
574	1868	1381
575	1871	1377
576	1875	1374
577	1877	1371
578	1880	1367
579	1883	1364
580	1887	1361
581	1890	1357
582	1892	1353
583	1895	1350
584	1899	1347
585	1902	1343
586	1904	1340
587	1907	1336
588	1910	1333
589	1913	1329
590	1916	1326
591	1918	1322
592	1921	1318
593	1925	1316
594	1928	1312
595	1932	1309
596	1935	1306
597	1938	1303
598	1941	1299
599	1944	1296
600	1946	1292
601	1950	1289
602	1953	1286
603	1956	1282
604	1959	1279
605	1964	1277
606	1967	1273
607	1970	1270
608	1976	1268
609	1978	1265
610	1981	1261
611	1984	1258
612	1988	1255
613	1992	1252
614	1996	1250
615	2003	1248
616	2008	1246
617	2014	1245
618	2021	1244
619	2025	1241
620	2029	1238
621	2031	1234
622	2035	1231
623	2041	1229
624	2044	1226
625	2047	1223
626	2052	1220
627	2056	1218
628	2059	1214
629	2062	1211
630	2068	1209
631	2071	1206
632	2074	1202
633	2080	1201
634	2084	1198
635	2087	1194
636	2094	1193
637	2097	1190
638	2101	1187
639	2105	1184
640	2108	1180
641	2111	1177
642	2115	1174
643	2119	1171
644	2122	1168
645	2124	1164
646	2128	1161
647	2131	1157
648	2134	1154
649	2136	1150
650	2139	1146
651	2142	1143
652	2145	1140
653	2148	1136
654	2150	1132
655	2154	1129
656	2157	1126
657	2159	1122
658	2162	1119
659	2165	1115
660	2169	1112
661	2171	1108
662	2174	1105
663	2177	1101
664	2180	1098
665	2183	1095
666	2186	1091
667	2189	1087
668	2192	1084
669	2195	1081
670	2197	1077
671	2200	1074
672	2203	1070
673	2206	1067
674	2208	1063
675	2211	1059
676	2214	1056
677	2217	1052
678	2220	1049
679	2223	1046
680	2226	1043
681	2230	1039
682	2233	1036
683	2236	1033
684	2238	1029
685	2241	1026
686	2244	1022
687	2247	1019
688	2249	1015
689	2252	1011
690	2255	1008
691	2258	1005
692	2261	1001
693	2263	998
694	2266	994
695	2270	991
696	2273	988
697	2275	984
698	2278	981
699	2282	978
700	2284	974
701	2287	971
702	2290	967
703	2293	964
704	2296	960
705	2299	957
706	2301	953
707	2304	950
708	2308	947
709	2310	943
710	2313	940
711	2316	936
712	2320	934
713	2324	931
714	2327	927
715	2329	924
716	2333	920
717	2336	917
718	2338	914
719	2341	910
720	2345	907
721	2347	904
722	2350	900
723	2353	897
724	2356	893
725	2359	890
726	2362	886
727	2364	883
728	2367	880
729	2371	876
730	2373	873
731	2376	870
732	2378	866
733	2382	863
734	2385	859
735	2387	856
736	2390	852
737	2392	849
738	2396	846
739	2398	842
740	2401	839
741	2404	836
742	2407	832
743	2410	829
744	2413	826
745	2415	822
746	2418	819
747	2422	816
748	2425	812
749	2427	809
750	2430	805
751	2433	802
752	2436	799
753	2439	795
754	2442	792
755	2445	789
756	2448	786
757	2451	782
758	2454	779
759	2457	776
760	2461	773
761	2464	769
762	2466	766
763	2469	762
764	2473	759
765	2475	756
766	2478	752
767	2481	749
768	2485	746
769	2487	743
770	2490	739
771	2493	736
772	2496	732
773	2499	729
774	2502	726
775	2505	723
776	2509	720
777	2512	716
778	2514	713
779	2517	710
780	2520	706
781	2523	703
782	2526	700
783	2528	696
784	2531	693
785	2535	690
786	2538	686
787	2540	683
788	2543	680
789	2546	676
790	2549	673
791	2552	670
792	2554	666
793	2557	663
794	2561	660
795	2563	657
796	2566	653
797	2569	650
798	2572	647
799	2575	643
800	2578	640
801	2580	637
802	2583	633
803	2586	630
804	2589	627
805	2592	623
806	2594	620
807	2598	617
808	2601	614
809	2604	610
810	2607	607
811	2611	604
812	2614	601
813	2616	597
814	2619	594
815	2622	591
816	2625	588
817	2627	584
818	2630	581
819	2632	577
820	2636	574
821	2639	571
822	2642	568
823	2645	565
824	2648	561
825	2652	558
826	2654	555
827	2657	551
828	2659	548
829	2663	545
830	2666	542
831	2668	538
832	2671	535
833	2674	532
834	2677	529
835	2680	525
836	2682	522
837	2685	519
838	2689	516
839	2692	512
840	2694	509
841	2697	506
842	2701	503
843	2704	499
844	2707	496
845	2709	493
846	2716	490
847	2720	487
848	2722	484
849	2726	481
850	2729	477
851	2732	474
852	2734	471
853	2738	468
854	2741	464
855	2744	461
856	2746	458
857	2749	455
858	2752	451
859	2755	448
860	2758	445
861	2760	441
862	2764	438
863	2767	435
864	2769	432
865	2772	429
866	2775	425
867	2778	422
868	2781	419
869	2784	416
870	2786	412
871	2790	409
872	2793	406
873	2795	403
874	2798	399
875	2802	396
876	2804	393
877	2807	390
878	2810	386
879	2813	383
880	2815	380
881	2818	377
882	2821	373
883	2823	370
884	2827	367
885	2830	364
886	2833	360
887	2835	357
888	2839	354
889	2842	351
890	2844	348
891	2847	344
892	2851	341
893	2854	338
894	2856	335
895	2859	331
896	2862	328
897	2865	325
898	2868	322
899	2871	319
900	2873	315
901	2876	312
902	2880	309
903	2882	306
904	2885	302
905	2888	299
906	2892	296
907	2894	293
908	2897	290
909	2900	286
910	2904	283
911	2906	280
912	2909	277
913	2911	273
914	2915	270
915	2918	267
916	2920	264
917	2923	261
918	2925	257
919	2930	254
920	2932	251
921	2935	248
922	2938	245
923	2942	242
924	2945	238
925	2947	235
926	2950	232
927	2954	229
928	2956	225
929	2959	222
930	2962	219
931	2964	216
932	2967	213
933	2970	209
934	2973	206
935	2975	203
936	2978	200
937	2981	197
938	2985	193
939	2988	190
940	2992	187
941	2994	184
942	2997	181
943	3000	177
944	3002	174
945	3005	171
946	3008	168
947	3011	165
948	3013	161
949	3017	158
950	3020	155
951	3022	152
952	3026	149
953	3030	146
954	3033	142
955	3035	139
956	3038	136
957	3041	133
958	3044	130
959	3047	126
960	3050	123
961	3052	120
962	3056	117
963	3059	114
964	3061	111
965	3064	107
966	3067	104
967	3071	101
968	3073	98
969	3076	95
970	3080	91
971	3083	88
972	3085	85
973	3088	82
974	3091	79
975	3094	76
976	3097	72
977	3100	69
978	3103	66
979	3108	63
980	3111	60
981	3113	57
982	3116	53
983	3120	50
984	3122	47
985	3125	44
986	3128	41
987	3132	38
988	3135	34
989	3137	31
990	3140	28
991	3143	25
992	3146	22
993	3148	19
994	3151	15
995	3154	12
996	3157	9
997	3159	6
998	3162	3
999	3165	0
